2025-11-18 01:51:18.094 +07:00 [WRN] Failed to determine the https port for redirect. | IP=::1 | 0HNH611LLOG78:00000001 54ff6b02a27b569e04154c0545066eb1
2025-11-18 01:51:18.181 +07:00 [INF] HTTP OPTIONS /api/v1/navigation/get-navigation => 204 (94.881 ms) | IP=::1 | TraceId=0HNH611LLOG78:00000001 | Request=null | Response=null | IP=::1 | 0HNH611LLOG78:00000001 54ff6b02a27b569e04154c0545066eb1
2025-11-18 01:51:21.337 +07:00 [INF] HTTP GET /api/v1/navigation/get-navigation => 200 (3145.352 ms) | IP=::1 | TraceId=0HNH611LLOG78:00000002 | Request=null | Response={"isSuccess":true,"statusCode":200,"data":[{"navigation":{"id":"53ae39bd-95b7-46d0-b7e9-0ef3a2732443","menuName":"Thông tin chung","idParent":null,"status":null,"createdDate":null,"path":null,"iconLink":null,"menuCode":null,"sort":0,"isHide":false},"navigationsChild":[{"id":"3d9644e0-c536-4e18-a528-ac19e06f5403","menuName":"Thông tin đơn vị","idParent":"53ae39bd-95b7-46d0-b7e9-0ef3a2732443","status":null,"createdDate":null,"path":"/admin/MENU_THONG_TIN_CONG_TY","iconLink":"ICON_MENU_THONG_TIN_CONG_TY","menuCode":"MENU_THONG_TIN_CONG_TY","sort":null,"navigationsChildOfChild":null}]},{"navigation":{"id":"e401d7d7-063c-4b9c-b9af-e0870800cf72","menuName":"Quản lý chung","idParent":null,"status":null,"createdDate":null,"path":null,"iconLink":null,"menuCode":null,"sort":1,"isHide":false},"navigationsChild":[{"id":"e62418a5-6c84-4816-a83f-549161996c5f","menuName":"Đơn vị phòng ban","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_DON_VI_PHONG_BAN","iconLink":"ICON_MENU_DON_VI_PHONG_BAN","menuCode":"MENU_DON_VI_PHONG_BAN","sort":null,"navigationsChildOfChild":null},{"id":"6300bb37-93b1-4fb4-a324-7770fa24204f","menuName":"Loại người dùng","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_LOAI_NGUOI_DUNG","iconLink":"ICON_MENU_LOAI_NGUOI_DUNG","menuCode":"MENU_LOAI_NGUOI_DUNG","sort":null,"navigationsChildOfChild":null},{"id":"7f709570-c6d0-493a-8181-97d9f960c97b","menuName":"Người dùng","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_NGUOI_DUNG","iconLink":"ICON_MENU_NGUOI_DUNG","menuCode":"MENU_NGUOI_DUNG","sort":null,"navigationsChildOfChild":null},{"id":"6e0fd8f9-7bdc-423b-ae7f-cb06e4d4f1c7","menuName":"Quyền người dùng","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_QUYEN_NGUOI_DUNG","iconLink":"ICON_MENU_QUYEN_NGUOI_DUNG","menuCode":"MENU_QUYEN_NGUOI_DUNG","sort":null,"navigationsChildOfChild":null}]},{"navigation":{"id":"7411fa0e-aa1e-43c4-aea1-c56ded95bab6","menuName":"Phúc lợi nhân viên","idParent":null,"status":null,"createdDate":null,"path":null,"iconLink":null,"menuCode":null,"sort":9,"isHide":false},"navigationsChild":[{"id":"47d42b9c-16dd-49c9-ade4-d2a0a3504325","menuName":"Quản lý phiếu nghỉ việc","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"/admin/resignation-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"resignation-application","sort":null,"navigationsChildOfChild":null},{"id":"b2199ca4-9608-465f-a540-da2e34d45349","menuName":"Quản lý phép","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"/admin/leave-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"leave-application","sort":null,"navigationsChildOfChild":null},{"id":"08ed781c-90af-44b2-b590-31dee2e970f7","menuName":"Bổ sung dữ liệu quẹt thẻ","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"admin/missing-timeclock-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"missing-timeclock-application","sort":null,"navigationsChildOfChild":null},{"id":"99c82a8d-30bc-438b-b393-612ef22e75c8","menuName":"Đăng ký tăng ca","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"admin/overtime-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"overtime-application","sort":null,"navigationsChildOfChild":null},{"id":"e1a00a6e-3dcf-488c-96f6-1b25369457e2","menuName":"Đăng ký chuyển ca","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"admin/shift-exchange-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"shift-exchange-application","sort":null,"navigationsChildOfChild":null}]},{"navigation":{"id":"6a3e612b-f586-46fb-98e7-4a9b0d5f780e","menuName":"Quản trị viên","idParent":null,"status":null,"createdDate":nul...<truncated> | IP=::1 | 0HNH611LLOG78:00000002 e01d81c880fcb34b35165a1042a2ee44
2025-11-18 02:00:13.826 +07:00 [INF] HTTP OPTIONS /api/v1/navigation/get-navigation => 204 (2.984 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000001 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000001 6b94595870d89729d2c7aa10d13aa724
2025-11-18 02:00:13.851 +07:00 [INF] HTTP GET /api/v1/navigation/get-navigation => 200 (21.43 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000002 | Request=null | Response={"isSuccess":true,"statusCode":200,"data":[{"navigation":{"id":"53ae39bd-95b7-46d0-b7e9-0ef3a2732443","menuName":"Thông tin chung","idParent":null,"status":null,"createdDate":null,"path":null,"iconLink":null,"menuCode":null,"sort":0,"isHide":false},"navigationsChild":[{"id":"3d9644e0-c536-4e18-a528-ac19e06f5403","menuName":"Thông tin đơn vị","idParent":"53ae39bd-95b7-46d0-b7e9-0ef3a2732443","status":null,"createdDate":null,"path":"/admin/MENU_THONG_TIN_CONG_TY","iconLink":"ICON_MENU_THONG_TIN_CONG_TY","menuCode":"MENU_THONG_TIN_CONG_TY","sort":null,"navigationsChildOfChild":null}]},{"navigation":{"id":"e401d7d7-063c-4b9c-b9af-e0870800cf72","menuName":"Quản lý chung","idParent":null,"status":null,"createdDate":null,"path":null,"iconLink":null,"menuCode":null,"sort":1,"isHide":false},"navigationsChild":[{"id":"e62418a5-6c84-4816-a83f-549161996c5f","menuName":"Đơn vị phòng ban","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_DON_VI_PHONG_BAN","iconLink":"ICON_MENU_DON_VI_PHONG_BAN","menuCode":"MENU_DON_VI_PHONG_BAN","sort":null,"navigationsChildOfChild":null},{"id":"6300bb37-93b1-4fb4-a324-7770fa24204f","menuName":"Loại người dùng","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_LOAI_NGUOI_DUNG","iconLink":"ICON_MENU_LOAI_NGUOI_DUNG","menuCode":"MENU_LOAI_NGUOI_DUNG","sort":null,"navigationsChildOfChild":null},{"id":"7f709570-c6d0-493a-8181-97d9f960c97b","menuName":"Người dùng","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_NGUOI_DUNG","iconLink":"ICON_MENU_NGUOI_DUNG","menuCode":"MENU_NGUOI_DUNG","sort":null,"navigationsChildOfChild":null},{"id":"6e0fd8f9-7bdc-423b-ae7f-cb06e4d4f1c7","menuName":"Quyền người dùng","idParent":"e401d7d7-063c-4b9c-b9af-e0870800cf72","status":null,"createdDate":null,"path":"/admin/MENU_QUYEN_NGUOI_DUNG","iconLink":"ICON_MENU_QUYEN_NGUOI_DUNG","menuCode":"MENU_QUYEN_NGUOI_DUNG","sort":null,"navigationsChildOfChild":null}]},{"navigation":{"id":"658a66dc-3ce9-419f-b36b-5ccb5964c3b4","menuName":"Phúc lợi nhân viên","idParent":null,"status":null,"createdDate":null,"path":null,"iconLink":null,"menuCode":null,"sort":9,"isHide":false},"navigationsChild":[{"id":"46fa43ff-f1cf-428e-ba32-13c9dba42591","menuName":"Quản lý phiếu nghỉ việc","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"/admin/resignation-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"resignation-application","sort":null,"navigationsChildOfChild":null},{"id":"e9ba22ad-eb4a-4750-88f7-b60a6e761bfc","menuName":"Quản lý phép","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"/admin/leave-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"leave-application","sort":null,"navigationsChildOfChild":null},{"id":"fd4f546f-2ee7-4f59-aeea-5bdb24c143f7","menuName":"Bổ sung dữ liệu quẹt thẻ","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"admin/missing-timeclock-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"missing-timeclock-application","sort":null,"navigationsChildOfChild":null},{"id":"946d78cd-f500-41f6-b063-740b1e2aa5c2","menuName":"Đăng ký tăng ca","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"admin/overtime-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"overtime-application","sort":null,"navigationsChildOfChild":null},{"id":"018abdac-68bd-4943-83aa-77b76b9e423c","menuName":"Đăng ký chuyển ca","idParent":"b4ad1891-9e56-405f-88d0-92eddbd356df","status":null,"createdDate":null,"path":"admin/shift-exchange-application","iconLink":"ICON_MENU_TAO_PHIEU_THUC_TAP","menuCode":"shift-exchange-application","sort":null,"navigationsChildOfChild":null}]},{"navigation":{"id":"0858516f-af48-42e0-90e6-7055562dafc4","menuName":"Quản trị viên","idParent":null,"status":null,"createdDate":nul...<truncated> | IP=::1 | 0HNH611LLOG79:00000002 4d05c4aec816f974484da61cfcb44956
2025-11-18 02:00:14.030 +07:00 [INF] HTTP OPTIONS /api/v1/user/get-user => 204 (0.111 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000003 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000003 60e583c4c0bc06c17e8c110740c79eb9
2025-11-18 02:00:14.066 +07:00 [INF] HTTP GET /api/v1/user/get-user => 200 (32.618 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000004 | Request=null | Response={"isSuccess":false,"statusCode":400,"message":"Token đã hết hạn","traceId":null} | IP=::1 | 0HNH611LLOG79:00000004 25fcf7f281d1ec3dfac09adec63edbe8
2025-11-18 02:00:14.190 +07:00 [INF] HTTP OPTIONS /api/v1/evaluations/getAnalystHome => 204 (0.161 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000005 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000005 0e7d3b7712aafdef63c99b6a662b7eba
2025-11-18 02:00:14.194 +07:00 [INF] HTTP OPTIONS /api/v1/evaluations/getListEvaluationsOfUser => 204 (0.098 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000006 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000006 3204c11a936f6df4bfccf58f33e26f45
2025-11-18 02:00:14.201 +07:00 [INF] HTTP OPTIONS /api/v1/evaluations/getListEvaluationsOfSupervisor => 204 (0.099 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000007 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000007 c621563bfb6b777be9b1779e32fae994
2025-11-18 02:00:14.210 +07:00 [INF] HTTP GET /api/v1/evaluations/getListEvaluationsOfUser => 404 (7.789 ms) | IP=::1 | TraceId=0HNH611LLOG7B:00000001 | Request=null | Response=null | IP=::1 | 0HNH611LLOG7B:00000001 5839c144547fbb0eb9a72f291f179614
2025-11-18 02:00:14.210 +07:00 [INF] HTTP GET /api/v1/evaluations/getAnalystHome => 404 (7.789 ms) | IP=::1 | TraceId=0HNH611LLOG7A:00000001 | Request=null | Response=null | IP=::1 | 0HNH611LLOG7A:00000001 9982ecd49b2596fe5f048e710bdf1fb7
2025-11-18 02:00:14.213 +07:00 [INF] HTTP GET /api/v1/evaluations/getListEvaluationsOfSupervisor => 404 (4.479 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000008 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000008 0c4ecdd4571a9b18f4529802e0e10467
2025-11-18 02:00:20.062 +07:00 [INF] HTTP OPTIONS /api/v1/navigation/get-navigation => 204 (0.113 ms) | IP=::1 | TraceId=0HNH611LLOG79:00000009 | Request=null | Response=null | IP=::1 | 0HNH611LLOG79:00000009 435272f4c706ddd606ba033dda48ec08
